Identifiant;Marque;Nom;Latitude;Longitude
92230003;Carrefour;CARREFOUR GENNEVILLIERS;48.925844746;2.29199166369
92300007;BP;BP LEVALLOIS PRESIDENT WILSON 8 à Huit;48.89616;2.28689
91300015;Total Access;RELAIS TOTAL MASSY LECLERC SARL CARBU SERVICES;48.72478;2.29964
91700003;Carrefour;CARREFOUR SAINTE GENEVIEVE DES BOIS;48.6394630408;2.33363236649
92220009;BP;BP BAGNEUX CHATILLON;48.79741;2.29816
94100006;Esso Express;ESSO FOCH;48.79916;2.4999
94800002;Total Access;RELAIS total access ST SIMON;48.79261;2.36955
95000011;BP;BP CERGY LHAUTIL 8 à Huit;49.03199;2.06858
94220003;Avia;STATION AVIA;48.82547;2.40774
94170002;Esso Express;ESSO LE PERREUX;48.8508;2.49526
94240004;BP;BP L'HAY LES ROSES;48.77682;2.34011
95000010;BP;BP JOUY LE MOUTIER LES BOURSEAUX;49.05453;2.04674
95520001;Auchan;AUCHAN;49.064;2.06577
95130002;Oil France;IS INDUSTRIES SERVICES;48.98975;2.22909
91400004;Total Access;RELAIS SACLAY;48.7240313233;2.16666654947
91540005;BP;BP MENNECY;48.55575;2.43671
92700005;Shell;SARL FD PERFORMANCE;48.927665512;2.23825947584
93300004;Esso Express;ESSO MALADRERIE;48.91268;2.40171
93150008;Leclerc;DRIVE E.LECLERC BLANC MESNIL;48.94818;2.46733
95100002;Total Access;RELAIS ARGENTEUIL BALMONT;48.95463;2.27332595196
95230001;Total;RELAIS DE SOISY;48.98701;2.29582
92200003;BP;BP NEUILLY LES TERNES;48.88176;2.28027
93160007;TOTAL;Total metin noisy le grand;48.84191;2.55868
93300003;BP;BP AUBERVILLIERS PONT BLANC;48.91932;2.39367
93600005;Esso;ESSO GARONOR;48.94008;2.49597
93600015;BP;BP AULNAY RN370;48.95565;2.48788
94200007;Total;Station Total;48.80595;2.37609
94370007;Total;SARL DURMUS;48.77333;2.51743
94800001;Total Access;RELAIS TOTAL ACCESS VILLEJUIF;48.77033;2.36785
95300001;Total;RELAIS VIOSNE;49.04464;2.09609
95370004;Total Access;RELAIS DU CROISILLON;48.9850542078;2.18181283895
95712001;Total;RELAIS DU CEDRE;48.9998173201;2.52286702801
95800005;BP;BP CERGY ST CHRISTOPHE 8 à Huit;49.04592;2.02126
30133001;Leclerc;S.A. ANGLEDIS;43.96041;4.75015
30220003;Système U;U EXPRESS;43.62837;4.19197
